num_fila,wall_time-s,user_time-s,sys_time-s,cpu_total-s,percent_cpu,mem_rss-kb
5,0.006606,0.000793,0.005814,0.006606,12.00,40
2,0.005544,0.000333,0.005211,0.005544,6.01,40
3,0.005894,0.000466,0.005428,0.005894,7.90,40
4,0.007245,0.000685,0.006560,0.007245,9.45,40
4,0.006529,0.000697,0.005832,0.006529,10.67,40
2,0.005609,0.000354,0.005254,0.005609,6.32,40
5,0.006131,0.000734,0.005397,0.006131,11.97,40
4,0.006556,0.000638,0.005918,0.006556,9.73,40
4,0.006057,0.000571,0.005486,0.006057,9.43,40
3,0.006099,0.000497,0.005603,0.006099,8.15,40
5,0.006590,0.000661,0.005929,0.006590,10.03,40
4,0.006310,0.000651,0.005660,0.006310,10.31,40
5,0.006815,0.000857,0.005958,0.006815,12.58,40
5,0.006198,0.000735,0.005464,0.006198,11.85,40
5,0.006156,0.000718,0.005438,0.006156,11.66,40
2,0.005774,0.000381,0.005393,0.005774,6.60,40
2,0.005366,0.000319,0.005047,0.005366,5.95,40
6,0.006315,0.000803,0.005512,0.006315,12.71,40
5,0.006072,0.000722,0.005351,0.006072,11.89,40
6,0.005969,0.000743,0.005227,0.005969,12.44,40
6,0.006727,0.000819,0.005908,0.006727,12.18,40
3,0.005947,0.000484,0.005463,0.005947,8.14,40
3,0.005841,0.000376,0.005465,0.005841,6.43,40
5,0.006056,0.000849,0.005207,0.006056,14.02,40
4,0.005880,0.000516,0.005364,0.005880,8.78,40
2,0.005766,0.000342,0.005424,0.005766,5.94,40
4,0.005893,0.000499,0.005393,0.005893,8.47,40
4,0.005972,0.000602,0.005370,0.005972,10.08,40
4,0.006368,0.000559,0.005810,0.006368,8.77,40
4,0.005906,0.000584,0.005322,0.005906,9.88,40
2,0.006093,0.000385,0.005708,0.006093,6.31,40
6,0.006406,0.000769,0.005637,0.006406,12.00,40
2,0.006468,0.000430,0.006038,0.006468,6.65,40
3,0.005500,0.000398,0.005102,0.005500,7.24,40
6,0.006341,0.000868,0.005473,0.006341,13.69,40
5,0.006028,0.000680,0.005349,0.006028,11.28,40
5,0.007138,0.000698,0.006440,0.007138,9.77,40
3,0.005599,0.000401,0.005198,0.005599,7.16,40
6,0.006669,0.000839,0.005830,0.006669,12.58,40
4,0.006035,0.000549,0.005486,0.006035,9.09,40
5,0.006143,0.000711,0.005432,0.006143,11.57,40
4,0.005957,0.000507,0.005450,0.005957,8.51,40
3,0.005654,0.000423,0.005231,0.005654,7.48,40
2,0.005335,0.000320,0.005015,0.005335,6.00,40
4,0.006414,0.000606,0.005808,0.006414,9.45,40
4,0.006294,0.000586,0.005708,0.006294,9.31,40
4,0.006175,0.000558,0.005618,0.006175,9.03,40
5,0.005940,0.000728,0.005213,0.005940,12.25,40
5,0.006136,0.000703,0.005432,0.006136,11.46,40
5,0.009360,0.001756,0.007604,0.009360,18.76,40
4,0.011934,0.001462,0.010472,0.011934,12.25,40
5,0.008104,0.000797,0.007307,0.008104,9.83,40
2,0.006205,0.000384,0.005822,0.006205,6.18,40
5,0.007018,0.000720,0.006298,0.007018,10.26,40
2,0.006080,0.000410,0.005670,0.006080,6.74,40
3,0.008915,0.000475,0.008440,0.008915,5.33,40
4,0.006975,0.000477,0.006499,0.006975,6.83,40
5,0.006984,0.000662,0.006322,0.006984,9.47,40
3,0.007283,0.000238,0.007046,0.007283,3.26,40
4,0.012565,0.005165,0.007400,0.012565,41.11,40
2,0.007462,0.000282,0.007179,0.007462,3.78,40
2,0.019947,0.000332,0.019616,0.019947,1.66,40
5,0.011875,0.000748,0.011128,0.011875,6.29,40
5,0.009293,0.000752,0.008541,0.009293,8.09,40
3,0.007889,0.000522,0.007367,0.007889,6.62,40
5,0.014668,0.001618,0.013050,0.014668,11.03,40
6,0.011236,0.000726,0.010510,0.011236,6.46,40
2,0.007238,0.000324,0.006914,0.007238,4.48,40
6,0.006421,0.000590,0.005830,0.006421,9.19,40
6,0.007864,0.000484,0.007380,0.007864,6.15,40
3,0.007275,0.000521,0.006754,0.007275,7.16,40
4,0.006820,0.000585,0.006236,0.006820,8.57,40
5,0.014382,0.000642,0.013740,0.014382,4.46,40
5,0.007384,0.000518,0.006865,0.007384,7.02,40
6,0.018786,0.000666,0.018121,0.018786,3.54,40
6,0.020333,0.001239,0.019094,0.020333,6.09,40
5,0.008958,0.000580,0.008379,0.008958,6.47,40
6,0.011149,0.000798,0.010351,0.011149,7.16,40
5,0.008506,0.000580,0.007926,0.008506,6.81,40
6,0.007600,0.000676,0.006924,0.007600,8.89,40
2,0.008763,0.000270,0.008494,0.008763,3.08,40
4,0.006160,0.000506,0.005654,0.006160,8.22,40
4,0.010246,0.000430,0.009815,0.010246,4.20,40
6,0.010779,0.000832,0.009947,0.010779,7.71,40
3,0.007061,0.000532,0.006528,0.007061,7.54,40
2,0.014146,0.000307,0.013839,0.014146,2.17,40
