num_fila,wall_time-s,user_time-s,sys_time-s,cpu_total-s,percent_cpu,mem_rss-kb
3,0.000310,0.000222,0.000000,0.000222,71.6,1952
2,0.000249,0.000156,0.000000,0.000156,62.7,1952
4,0.000367,0.000287,0.000000,0.000287,78.2,1952
6,0.000469,0.000426,0.000000,0.000426,90.8,1952
3,0.000343,0.000248,0.000000,0.000248,72.3,1952
3,0.000303,0.000216,0.000000,0.000216,71.3,1952
2,0.000256,0.000166,0.000000,0.000166,64.9,1952
5,0.000436,0.000379,0.000000,0.000379,87.0,1952
3,0.000293,0.000000,0.000215,0.000215,73.4,1952
4,0.000349,0.000000,0.000276,0.000276,79.1,1952
5,0.000440,0.000000,0.000364,0.000364,82.8,1952
2,0.000255,0.000000,0.000157,0.000157,61.5,1952
5,0.000404,0.000000,0.000339,0.000339,84.0,1952
3,0.000292,0.000000,0.000203,0.000203,69.4,1952
3,0.000274,0.000000,0.000199,0.000199,72.7,1952
2,0.000254,0.000000,0.000143,0.000143,56.3,1952
4,0.000456,0.000000,0.000354,0.000354,77.6,1952
5,0.000432,0.000000,0.000364,0.000364,84.2,1952
5,0.000413,0.000000,0.000349,0.000349,84.4,1952
2,0.000257,0.000000,0.000143,0.000143,55.7,1952
4,0.000357,0.000000,0.000282,0.000282,78.9,1952
3,0.000291,0.000000,0.000203,0.000203,69.8,1952
4,0.000348,0.000000,0.000279,0.000279,80.2,1952
5,0.000403,0.000000,0.000336,0.000336,83.4,1952
5,0.000482,0.000000,0.000408,0.000408,84.6,1952
3,0.000309,0.000000,0.000211,0.000211,68.4,1952
6,0.000465,0.000029,0.000371,0.000400,85.9,1952
6,0.000514,0.000031,0.000410,0.000441,85.8,1952
6,0.000506,0.000030,0.000391,0.000421,83.3,1952
4,0.000736,0.000000,0.000409,0.000409,55.5,1952
5,0.000603,0.000000,0.000588,0.000588,97.5,1952
2,0.000267,0.000000,0.000152,0.000152,56.9,1952
6,0.000486,0.000000,0.000429,0.000429,88.3,1952
3,0.000304,0.000000,0.000218,0.000218,71.6,1952
3,0.000332,0.000000,0.000249,0.000249,75.0,1952
5,0.000770,0.000000,0.000703,0.000703,91.3,1952
4,0.000367,0.000000,0.000297,0.000297,81.0,1952
5,0.000420,0.000000,0.000357,0.000357,85.0,1952
5,0.000395,0.000000,0.000329,0.000329,83.4,1952
6,0.000474,0.000000,0.000414,0.000414,87.4,1952
4,0.000332,0.000000,0.000265,0.000265,79.7,1952
4,0.000382,0.000000,0.000282,0.000282,73.9,1952
4,0.000399,0.000000,0.000274,0.000274,68.7,1952
3,0.000351,0.000000,0.000269,0.000269,76.6,1952
5,0.000444,0.000000,0.000339,0.000339,76.3,1952
3,0.000296,0.000000,0.000208,0.000208,70.2,1952
4,0.000347,0.000000,0.000272,0.000272,78.3,1952
5,0.000534,0.000000,0.000467,0.000467,87.5,1952
3,0.000298,0.000000,0.000226,0.000226,75.8,1952
6,0.000522,0.000000,0.000452,0.000452,86.6,1952
5,0.000426,0.000000,0.000366,0.000366,86.0,1952
4,0.000371,0.000000,0.000295,0.000295,79.4,1952
2,0.000253,0.000000,0.000147,0.000147,58.2,1952
3,0.000335,0.000000,0.000227,0.000227,67.7,1952
2,0.000257,0.000000,0.000150,0.000150,58.4,1952
3,0.000316,0.000000,0.000232,0.000232,73.3,1952
4,0.000358,0.000000,0.000287,0.000287,80.1,1952
2,0.000249,0.000000,0.000141,0.000141,56.7,1952
6,0.000488,0.000000,0.000432,0.000432,88.6,1952
6,0.000563,0.000000,0.000493,0.000493,87.6,1952
6,0.000541,0.000000,0.000478,0.000478,88.3,1952
3,0.000298,0.000000,0.000211,0.000211,70.9,1952
4,0.000425,0.000000,0.000324,0.000324,76.3,1952
3,0.000314,0.000000,0.000225,0.000225,71.8,1952
2,0.000323,0.000000,0.000147,0.000147,45.5,1952
6,0.000576,0.000000,0.000507,0.000507,88.1,1952
2,0.000255,0.000000,0.000160,0.000160,62.7,1952
5,0.000428,0.000000,0.000351,0.000351,82.0,1952
2,0.000270,0.000000,0.000150,0.000150,55.6,1952
3,0.000305,0.000000,0.000222,0.000222,72.9,1952
4,0.000362,0.000000,0.000289,0.000289,79.9,1952
6,0.000497,0.000000,0.000443,0.000443,89.1,1952
5,0.000425,0.000000,0.000359,0.000359,84.5,1952
4,0.000353,0.000000,0.000275,0.000275,77.9,1952
2,0.000238,0.000000,0.000143,0.000143,60.1,1952
2,0.000250,0.000000,0.000166,0.000166,66.3,1952
5,0.000394,0.000000,0.000328,0.000328,83.2,1952
