num_fila,wall_time-s,user_time-s,sys_time-s,cpu_total-s,percent_cpu,mem_rss-kb
4,0.004791,0.000426,0.004366,0.004791,8.88,40
2,0.004737,0.000303,0.004434,0.004737,6.40,40
5,0.005608,0.000564,0.005044,0.005608,10.05,40
5,0.004817,0.000795,0.004022,0.004817,16.51,40
6,0.005348,0.000687,0.004661,0.005348,12.84,40
6,0.004966,0.000607,0.004360,0.004966,12.22,40
2,0.004683,0.000294,0.004389,0.004683,6.28,40
3,0.004656,0.000353,0.004303,0.004656,7.58,40
4,0.004415,0.000414,0.004001,0.004415,9.38,40
6,0.005088,0.000635,0.004453,0.005088,12.48,40
4,0.005009,0.000450,0.004559,0.005009,8.99,40
5,0.004869,0.000558,0.004311,0.004869,11.46,40
5,0.004920,0.000513,0.004408,0.004920,10.42,40
2,0.004610,0.000241,0.004369,0.004610,5.24,40
5,0.004596,0.000511,0.004085,0.004596,11.11,40
2,0.004486,0.000273,0.004213,0.004486,6.09,40
3,0.004420,0.000314,0.004106,0.004420,7.10,40
3,0.004488,0.000470,0.004018,0.004488,10.47,40
6,0.005159,0.000694,0.004466,0.005159,13.45,40
5,0.004679,0.000499,0.004181,0.004679,10.66,40
2,0.004411,0.000249,0.004162,0.004411,5.65,40
5,0.004687,0.000580,0.004107,0.004687,12.37,40
4,0.004471,0.000413,0.004058,0.004471,9.24,40
2,0.004826,0.000243,0.004583,0.004826,5.03,40
4,0.004746,0.000422,0.004324,0.004746,8.89,40
3,0.004837,0.000407,0.004430,0.004837,8.41,40
4,0.004709,0.000458,0.004251,0.004709,9.72,40
2,0.004424,0.000245,0.004179,0.004424,5.53,40
3,0.004363,0.000313,0.004050,0.004363,7.18,40
4,0.004740,0.000453,0.004287,0.004740,9.56,40
6,0.004927,0.000668,0.004258,0.004927,13.57,40
4,0.004890,0.000483,0.004407,0.004890,9.88,40
2,0.005415,0.000356,0.005059,0.005415,6.57,40
5,0.005376,0.000575,0.004802,0.005376,10.69,40
3,0.004583,0.000329,0.004254,0.004583,7.18,40
5,0.004817,0.000593,0.004224,0.004817,12.31,40
6,0.005568,0.000711,0.004857,0.005568,12.78,40
5,0.005331,0.000545,0.004786,0.005331,10.22,40
4,0.005226,0.000602,0.004624,0.005226,11.52,40
5,0.005246,0.000637,0.004608,0.005246,12.15,40
2,0.004452,0.000294,0.004158,0.004452,6.60,40
5,0.005415,0.000582,0.004833,0.005415,10.74,40
5,0.004940,0.000540,0.004401,0.004940,10.92,40
6,0.005038,0.000754,0.004285,0.005038,14.96,40
4,0.004553,0.000400,0.004153,0.004553,8.79,40
